City-State,Zip_Code
Clarksburg-MD,['20871']
Boyds-MD,['20841']
Rockville-MD,"['20847', '20848', '20849', '20850', '20851', '20852', '20853', '20857]"
Germantown-MD,"['20874', '20876']"
Gaithersburg-MD,"['20877', '20878', '20879', '20882']"
Frederick-MD,"['21701', '21702', '21703', '21704', '21705', '21709']"
Potomac-MD,"['20817', '20827', '20854', '20859']"
NorthPotomac-MD,"['20850', '20878', '20997']"
Ashburn-VA,"['20146', '20147', '20148', '20149']"
Beaumont-VA,"['23014', '233139']"
Sterling-VA,"['20163', '20164', '20165', '20166', '20167']"
